group,N,share,mean_noisy_clean_word_delta,identity_CER,byt5_CER,CER_abs_improvement,identity_WER,byt5_WER,WER_abs_improvement,identity_no_space_CER,byt5_no_space_CER,no_space_CER_abs_improvement,CER_improved_share,WER_improved_share,no_space_CER_improved_share,WER_improved_but_no_space_not_share
all,800,1.0,0.60125,0.08652351738241308,0.07301635991820041,0.013507157464212674,0.5140990371389271,0.3547455295735901,0.159353507565337,0.0838091839162503,0.07343564120866047,0.01037354270758982,0.8525,0.84625,0.81875,0.095
same_word_count,288,0.36,0.0,0.08064320388349515,0.06638349514563106,0.014259708737864085,0.44955429497568883,0.33812803889789306,0.11142625607779577,0.08346284261090704,0.06788640858999717,0.015576434020909871,0.7986111111111112,0.7430555555555556,0.8020833333333334,0.06944444444444445
noisy_has_more_words,378,0.4725,1.7195767195767195,0.09053935677637343,0.07009969549076044,0.02043966128561299,0.5656365182874965,0.35270768358378224,0.21292883470371426,0.08410467652047492,0.0706808819966077,0.013423794523867216,0.8994708994708994,0.9312169312169312,0.8412698412698413,0.1164021164021164
noisy_has_fewer_words,134,0.1675,-1.2611940298507462,0.08659879247069965,0.09423463951698828,-0.007635847046288627,0.4964705882352941,0.39254901960784316,0.10392156862745094,0.08364414974443984,0.09213979831468434,-0.008495648570244499,0.835820895522388,0.8283582089552238,0.7910447761194029,0.08955223880597014
changed_word_count,512,0.64,0.939453125,0.08951264651449722,0.07638803207896361,0.013124614435533616,0.5472719700124948,0.36328613077884214,0.1839858392336527,0.08398507569778288,0.07625385664059697,0.007731219057185906,0.8828125,0.904296875,0.828125,0.109375
