system,n,mean_cer,median_cer,mean_wer,median_wer,mean_no_space_cer,median_no_space_cer,improved,same,worse
raw_tesseract,68,0.3538667181308671,0.2982921504607716,0.923767965153549,0.8942795535261289,0.34211858990620564,0.28098392242787673,,,
byt5_chunked,68,0.45642682506377935,0.42057558139534884,0.8919322819001635,0.8578555787797353,0.4657921977064709,0.4279723478082139,6,0,62
guarded_byt5,68,0.45642682506377935,0.42057558139534884,0.8919322819001635,0.8578555787797353,0.4657921977064709,0.4279723478082139,6,0,62
strict_guarded_byt5,68,0.38282675803676147,0.34419275495052937,0.9038850534784786,0.8605385638297872,0.38302563178929144,0.3424792091612262,33,3,32
